Iceberg,Length (NM),Width (NM),Latitude,Longitude,Remarks,Last Update
B37,8,3,-72.64,-111.66,amune,2/12/2021
B38,6,4,-77,-155.03,rosse (grounded),2/12/2021
B39,8,4,-66.44,48.74,amerw,2/12/2021
B40,6,5,-65.65,132.18,wilke (grounded),2/12/2021
B42,12,4,-72.73,-126.2,amunw (grounded),2/12/2021
B45,7,6,-74.69,-109.34,amune (grounded),2/12/2021
B46,10,4,-72.6,-111.29,amune,2/12/2021
B47,12,5,-73.8,-133.84,amunw (grounded),2/12/2021
B50,15,6,-74.17,-140.17,amunw,2/12/2021
C15,12,8,-65.98,143.3,wilke,2/12/2021
C18B,19,4,-64.34,98,wilkw,2/12/2021
C21B,11,8,-64.99,95.86,wilkw (grounded),2/12/2021
C24,11,2,-64.84,96.02,wilkw (grounded),2/12/2021
C29,5,5,-66.15,143.18,wilke,2/12/2021
C30,9,3,-64.78,96.3,wilkw (grounded),2/12/2021
C31,9,3,-64.69,96.51,wilkw (grounded),2/12/2021
C33,8,4,-65.39,126.68,wilke,2/12/2021
C35,7,5,-68.08,147.79,wilke,2/12/2021
C36,22,15,-67.94,147.49,wilke,2/12/2021
D15A,51,24,-66.65,81.92,amere (grounded),2/12/2021
D15B,33,12,-66.99,81.57,amere (grounded),2/12/2021
D20A,19,9,-68.65,36.26,amerw (grounded),2/12/2021
D21B,10,4,-60.83,-31.97,belle,2/12/2021
D23,8,6,-69.43,74.66,amere (grounded),2/12/2021
D26,19,2,-69.36,29.4,wedde (grounded),2/12/2021
D27,8,5,-67.75,78.39,amere,2/12/2021
D28,29,19,-65.78,50.49,amerw,2/12/2021
A23A,40,34,-75.69,-39.98,belle,2/19/2021
A63,11,3,-71.62,-54.51,belle,2/19/2021
A64,13,9,-69.24,-60.64,belle,2/19/2021
A68A,29,10,-56.94,-33.23,belle,2/19/2021
A68E,2,2,-53.36,-38.39,belle,2/19/2021
A68G,25,3,-57.02,-34.7,belle,2/19/2021
A68H,11,4,-54.45,-34.97,belle,2/19/2021
A68I,13,2,-52.72,-35.81,belle,2/19/2021
